genre,metascore,movie,rate,time,votes,year
"
Action, Adventure, Thriller            ",73,Space Cowboys,6.4,130 min,66291,(2000)
"
Adventure, Sci-Fi, Thriller            ",34,Mission to Mars,5.6,114 min,65504,(2000)
"
Action, Crime, Thriller            ",50,Shaft,5.9,99 min,63454,(2000)
"
Action, Crime, Thriller            ",52,Romeo Must Die,6.1,115 min,61669,(2000)
"
Comedy, Drama            ",73,Wonder Boys,7.4,107 min,57685,(2000)
"
Drama, Fantasy, Horror            ",62,The Gift,6.7,112 min,56961,(2000)
"
Animation, Action, Adventure            ",48,Titan A.E.,6.6,94 min,55295,(2000)
"
Action, Adventure, Drama            ",48,Vertical Limit,5.9,124 min,53816,(2000)
"
Crime, Mystery, Thriller            ",49,Les rivières pourpres,6.9,106 min,52919,(2000)
"
Comedy, Sport            ",30,The Replacements,6.5,118 min,52810,(2000)
"
Action, Drama, Thriller            ",45,Proof of Life,6.2,135 min,51990,(2000)
"
Action, Sci-Fi, Thriller            ",34,Red Planet,5.7,106 min,51332,(2000)
"
Comedy            ",78,Best in Show,7.5,90 min,50009,(2000)
"
Drama, Fantasy, Sport            ",47,The Legend of Bagger Vance,6.7,126 min,49484,(2000)
"
Drama, History, Thriller            ",67,Thirteen Days,7.3,145 min,49299,(2000)
"
Crime, Drama, Thriller            ",79,Sexy Beast,7.3,89 min,48407,(2000)
"
Biography, Drama            ",70,Quills,7.3,124 min,48017,(2000)
"
Comedy, Drama, Romance            ",60,Keeping the Faith,6.4,128 min,47151,(2000)
"
Crime, Drama, Thriller            ",63,Boiler Room,7.0,120 min,45270,(2000)
"
Animation, Adventure, Family            ",56,Dinosaur,6.5,82 min,45031,(2000)
"
Crime, Drama, Thriller            ",80,Nueve reinas,7.9,114 min,44143,(2000)
"
Comedy, Romance, Sci-Fi            ",38,Nutty Professor II: The Klumps,4.4,106 min,44028,(2000)
"
Drama, Thriller, War            ",45,Rules of Engagement,6.4,128 min,40640,(2000)
"
Comedy, Drama            ",46,28 Days,6.0,103 min,38829,(2000)
"
Comedy, Family, Fantasy            ",45,The Kid,6.1,104 min,37118,(2000)
"
Drama, Horror            ",71,Shadow of the Vampire,6.9,92 min,36798,(2000)
"
Drama, Fantasy, Horror            ",70,Ginger Snaps,6.8,108 min,36715,(2000)
"
Drama, War            ",55,Tigerland,7.0,101 min,35597,(2000)
"
Action, Adventure, Crime            ",37,Reindeer Games,5.7,104 min,34216,(2000)
"
Comedy, Crime            ",69,Small Time Crooks,6.7,94 min,33856,(2000)
"
Biography, Crime, Drama            ",65,Chopper,7.2,94 min,33811,(2000)
"
Adventure, Fantasy, Horror            ",15,Book of Shadows: Blair Witch 2,4.0,90 min,32678,(2000)
"
Comedy            ",41,Next Friday,6.1,98 min,32161,(2000)
"
Comedy, Crime, Drama            ",69,Nurse Betty,6.2,110 min,31416,(2000)
"
Adventure, Comedy, Family            ",35,102 Dalmatians,4.9,100 min,30220,(2000)
"
Action, Crime, Drama            ",24,Get Carter,5.1,102 min,29847,(2000)
"
Action, Fantasy, Horror            ",26,Dracula 2000,4.9,99 min,29541,(2000)
"
Action, Adventure, Fantasy            ",14,Dungeons & Dragons,3.7,107 min,29458,(2000)
"
Action, Crime, Drama            ",49,The Way of the Gun,6.7,119 min,29445,(2000)
"
Comedy, Drama, Romance            ",30,Where the Heart Is,6.8,120 min,29420,(2000)
"
Action, Crime, Drama            ",24,The Skulls,5.6,106 min,28955,(2000)
"
Action, Adventure, Crime            ",30,The Art of War,5.7,117 min,26899,(2000)
"
Animation, Action, Adventure            ",62,Vampire Hunter D: Bloodlust,7.7,103 min,25733,(2000)
"
Drama            ",85,You Can Count on Me,7.6,111 min,25333,(2000)
"
Biography, Drama            ",77,Pollock,7.0,122 min,25021,(2000)
"
Comedy, Romance            ",35,Loser,5.3,98 min,24607,(2000)
"
Crime, Horror, Mystery            ",22,The Watcher,5.3,97 min,23783,(I) (2000)
"
Drama, Romance            ",24,Autumn in New York,5.6,103 min,22510,(2000)
"
Action, Drama, Thriller            ",58,Gongdong gyeongbi guyeok JSA,7.9,110 min,22369,(2000)
"
Biography, Drama, Romance            ",85,Before Night Falls,7.3,133 min,22295,(2000)
"
Drama, Thriller            ",59,The Contender,7.0,126 min,21608,(2000)
"
Crime, Drama, Thriller            ",47,Brother,7.2,114 min,20142,(I) (2000)
"
Crime, Drama, Thriller            ",43,Under Suspicion,6.5,110 min,20070,(2000)
"
Drama, Mystery, Thriller            ",25,The Million Dollar Hotel,5.9,122 min,19551,(2000)
"
Comedy, Drama            ",75,State and Main,6.8,105 min,19232,(2000)
"
Comedy, Drama, Romance            ",84,Tillsammans,7.5,106 min,18932,(2000)
"
Drama, Romance            ",52,Bounce,5.7,106 min,18797,(2000)
"
Adventure, Comedy, Romance            ",71,Im Juli,7.8,99 min,18776,(2000)
"
Comedy, Family, Romance            ",27,The Flintstones in Viva Rock Vegas,3.6,90 min,18009,(2000)
"
Animation, Adventure, Comedy            ",36,The Adventures of Rocky & Bullwinkle,4.2,92 min,17935,(2000)
"
Comedy, Drama, Family            ",61,My Dog Skip,7.0,95 min,17926,(2000)
"
Comedy, Drama, Romance            ",54,Return to Me,6.9,115 min,17877,(2000)
"
Action, Adventure, Fantasy            ",21,Highlander: Endgame,4.6,87 min,17849,(2000)
"
Crime, Drama, Romance            ",58,The Yards,6.4,115 min,17772,(2000)
"
Drama, Music, Romance            ",52,Center Stage,6.7,115 min,17108,(2000)
"
Action, Comedy, Crime            ",47,Blinkende lygter,7.7,109 min,16925,(2000)
"
Comedy, Drama, Romance            ",64,Dr. T & the Women,4.6,122 min,16547,(2000)
"
Comedy, Crime            ",62,Saving Grace,6.9,93 min,16449,(2000)
"
Drama, Romance, Sport            ",70,Love & Basketball,7.2,124 min,16110,(2000)
"
Drama, Romance            ",93,Yi yi,8.1,173 min,15922,(2000)
"
Horror, Sci-Fi, Thriller            ",19,Supernova,4.8,90 min,15901,(I) (2000)
"
Crime, Drama, Thriller            ",35,Baise-moi,4.5,77 min,15620,(2000)
"
Animation, Comedy, Drama            ",53,The Tigger Movie,6.3,77 min,14978,(2000)
"
Comedy, Drama            ",76,Sånger från andra våningen,7.7,98 min,14964,(2000)
"
Comedy, Drama, Romance            ",29,Boys and Girls,5.4,94 min,14803,(2000)
"
Horror, Mystery, Romance            ",16,Urban Legends: Final Cut,4.2,97 min,14343,(2000)
"
Comedy, Drama, History            ",74,The Dish,7.2,101 min,13870,(2000)
"
Drama, Mystery, Romance            ",64,Der Krieger und die Kaiserin,7.5,135 min,13559,(2000)
"
Drama, Mystery, Thriller            ",31,Gossip,5.9,90 min,13388,(I) (2000)
"
Drama, Music, Romance            ",40,The Man Who Cried,6.2,100 min,13341,(2000)
"
Comedy, Drama, Romance            ",13,Down to You,4.9,91 min,13245,(2000)
"
Crime, Drama, Horror            ",17,Bless the Child,5.1,107 min,13002,(2000)
"
Comedy, Sport            ",23,Ready to Rumble,5.3,107 min,12647,(2000)
"
Comedy, Crime, Mystery            ",25,Drowning Mona,5.6,96 min,12429,(2000)
"
Comedy, Crime, Thriller            ",57,Cecil B. DeMented,6.2,87 min,12270,(2000)
"
Drama, Romance, Western            ",55,All the Pretty Horses,5.8,116 min,12181,(2000)
"
Comedy, Drama, Romance            ",77,Italiensk for begyndere,7.1,112 min,12037,(2000)
"
Crime, Drama, Thriller            ",60,Gangster No. 1,6.8,103 min,11966,(2000)
"
Crime, Drama            ",65,Animal Factory,6.6,94 min,11607,(2000)
"
Comedy            ",22,The Ladies Man,5.1,84 min,11508,(2000)
